PID    COMMAND %CPU TIME     #TH #WQ #PORTS MEM PURG CMPRS PGRP  PPID  STATE    BOOSTS %CPU_ME %CPU_OTHRS UID FAULTS COW MSGSENT MSGRECV SYSBSD SYSMACH CSW PAGEINS IDLEW POWER INSTRS CYCLES JETPRI  USER                 #MREGS RPRVT VPRVT VSIZE KPRVT KSHRD
15364  node    99.0  00:21.76 11/1 0   27     25M+ 0B   0B    15350 15350 running  *0[1]  0.00000 0.00000    501 4298+  131  588+    292+    6696+  540+    15967+ 129     6     99.0  16999619314 2688178713 180    jashdevendrajariwala N/A    N/A   N/A   N/A   N/A   N/A  
15364  node    98.3  00:22.82 11/1 0   27     27M+ 0B   0B    15350 15350 running  *0[1]  0.00000 0.00000    501 4409+  131  612+    304+    6744+  552+    17074+ 130+    6     98.3  16342251518 2601081060 180    jashdevendrajariwala N/A    N/A   N/A   N/A   N/A   N/A  
15364  node    99.0  00:23.90 11/1 0   27     28M+ 0B   0B    15350 15350 running  *0[1]  0.00000 0.00000    501 4449+  131  638+    317+    6830+  565+    17757+ 130     6     99.0  16541134937 2629401940 180    jashdevendrajariwala N/A    N/A   N/A   N/A   N/A   N/A  
15364  node    98.5  00:24.97 11/1 0   27     28M+ 0B   0B    15350 15350 running  *0[1]  0.00000 0.00000    501 4496+  131  664+    330+    6871+  578+    18363+ 130     6     98.5  16617137505 2614938702 180    jashdevendrajariwala N/A    N/A   N/A   N/A   N/A   N/A  
15364  node    99.2  00:26.04 11/1 0   27     29M+ 0B   0B    15350 15350 running  *0[1]  0.00000 0.00000    501 4558+  131  690+    343+    6938+  591+    19070+ 130     6     99.2  16719032959 2630720064 180    jashdevendrajariwala N/A    N/A   N/A   N/A   N/A   N/A  
15364  node    99.1  00:27.12 11/1 0   27     29M+ 0B   0B    15350 15350 running  *0[1]  0.00000 0.00000    501 4559+  131  718+    357+    6988+  605+    19627+ 130     6     99.1  16691167762 2626028478 180    jashdevendrajariwala N/A    N/A   N/A   N/A   N/A   N/A  
15364  node    98.8  00:28.19 11/1 0   27     30M+ 0B   0B    15350 15350 running  *0[1]  0.00000 0.00000    501 4567+  131  744+    370+    7045+  618+    20353+ 130     6     98.8  16643247939 2633511681 180    jashdevendrajariwala N/A    N/A   N/A   N/A   N/A   N/A  
15364  node    98.4  00:29.26 11/1 0   27     30M+ 0B   0B    15350 15350 running  *0[1]  0.00000 0.00000    501 4569+  131  770+    383+    7090+  631+    21058+ 130     6     98.4  16556557421 2610697890 180    jashdevendrajariwala N/A    N/A   N/A   N/A   N/A   N/A  
15364  node    98.8  00:30.34 11/1 0   27     30M+ 0B   0B    15350 15350 running  *0[1]  0.00000 0.00000    501 4572+  131  796+    396+    7137+  644+    21734+ 130     6     98.8  16684272616 2627241377 180    jashdevendrajariwala N/A    N/A   N/A   N/A   N/A   N/A  
15364  node    99.0  00:31.41 11/1 0   27     30M+ 0B   0B    15350 15350 running  *0[1]  0.00000 0.00000    501 4581+  131  822+    409+    7192+  657+    22375+ 130     6     99.0  16626835847 2628189805 180    jashdevendrajariwala N/A    N/A   N/A   N/A   N/A   N/A  
15364  node    98.6  00:32.50 11/1 0   27     30M+ 0B   0B    15350 15350 running  *0[1]  0.00000 0.00000    501 4583+  131  848+    422+    7241+  670+    22999+ 130     6     98.6  16962266236 2672712191 180    jashdevendrajariwala N/A    N/A   N/A   N/A   N/A   N/A  
15364  node    99.0  00:33.58 11/1 0   27     30M+ 0B   0B    15350 15350 running  *0[1]  0.00000 0.00000    501 4593+  131  874+    435+    7300+  683+    23627+ 130     6     99.0  16671203142 2630101831 180    jashdevendrajariwala N/A    N/A   N/A   N/A   N/A   N/A  
15364  node    98.8  00:34.65 11/1 0   27     30M+ 0B   0B    15350 15350 running  *0[1]  0.00000 0.00000    501 4594+  131  900+    448+    7341+  696+    24407+ 130     6     98.8  16591281968 2625065968 180    jashdevendrajariwala N/A    N/A   N/A   N/A   N/A   N/A  
15364  node    99.0  00:35.73 11/1 0   27     30M+ 0B   0B    15350 15350 running  *0[1]  0.00000 0.00000    501 4604+  131  926+    461+    7401+  709+    25030+ 130     6     99.0  16639322860 2623213193 180    jashdevendrajariwala N/A    N/A   N/A   N/A   N/A   N/A  
15364  node    98.5  00:36.80 11/1 0   27     30M+ 0B   0B    15350 15350 running  *0[1]  0.00000 0.00000    501 4605+  131  952+    474+    7450+  722+    25639+ 130     6     98.5  16672805168 2618590450 180    jashdevendrajariwala N/A    N/A   N/A   N/A   N/A   N/A  
15364  node    100.4 00:37.88 11/1 0   27     30M+ 0B   0B    15350 15350 running  *0[1]  0.00000 0.00000    501 4616+  131  978+    487+    7522+  735+    26505+ 130     6     100.4 16772063826 2651455411 180    jashdevendrajariwala N/A    N/A   N/A   N/A   N/A   N/A  
